name,state_code,state_name,country,lat,lng,population
Murrieta,CA,California,US,33.55391,-117.21392,109830
Centennial,CO,Colorado,US,39.57916,-104.87692,109741
Richmond,CA,California,US,37.93576,-122.34775,109708
Corona,NY,New York,US,40.74705,-73.86014,109698
Pueblo,CO,Colorado,US,38.25445,-104.60914,109412
Thunder Bay,ON,Ontario,CA,48.38202,-89.25018,108843
Pearland,TX,Texas,US,29.56357,-95.28605,108821
Waterbury,CT,Connecticut,US,41.55815,-73.0515,108802
Greeley,CO,Colorado,US,40.42331,-104.70913,108795
West Covina,CA,California,US,34.06862,-117.93895,108484
Enterprise,NV,Nevada,US,36.02525,-115.24194,108481
La Cite-Limoilou,QC,Quebec,CA,46.82894,-71.22641,108415
North Charleston,SC,South Carolina,US,32.85462,-79.97481,108304
Everett,WA,Washington,US,47.97898,-122.20208,108010
College Station,TX,Texas,US,30.62798,-96.33441,107889
Pompano Beach,FL,Florida,US,26.23786,-80.12477,107762
South Fulton,GA,Georgia,US,33.59259,-84.67294,107436
Norwalk,CA,California,US,33.90224,-118.08173,107140
Boulder,CO,Colorado,US,40.01499,-105.27055,106803
Broken Arrow,OK,Oklahoma,US,36.0526,-95.79082,106563
Daly City,CA,California,US,37.70577,-122.46192,106562
Sydney,NS,Nova Scotia,CA,46.1351,-60.1831,105968
Le Plateau-Mont-Royal,QC,Quebec,CA,45.52833,-73.58081,105813
Sandy Springs,GA,Georgia,US,33.92427,-84.37854,105330
Burbank,CA,California,US,34.18084,-118.30897,105319
Green Bay,WI,Wisconsin,US,44.51916,-88.01983,105207
Santa Maria,CA,California,US,34.95303,-120.43572,105093
Universal City,CA,California,US,34.1389,-118.35341,105000
Waterloo,ON,Ontario,CA,43.4668,-80.51639,104986
Ville-Marie,QC,Quebec,CA,45.49899,-73.57046,104944
Wichita Falls,TX,Texas,US,33.91371,-98.49339,104710
Brantford,ON,Ontario,CA,43.1334,-80.26636,104688
Kamloops,BC,British Columbia,CA,50.66648,-120.3192,104460
Lakeland,FL,Florida,US,28.03947,-81.9498,104401
Clovis,CA,California,US,36.82523,-119.70292,104180
Lewisville,TX,Texas,US,33.04623,-96.99417,104039
Tyler,TX,Texas,US,32.35126,-95.30106,103700
El Cajon,CA,California,US,32.79477,-116.96253,103679
San Mateo,CA,California,US,37.56299,-122.32553,103536
Brandon,FL,Florida,US,27.9378,-82.28592,103483
Lethbridge,AB,Alberta,CA,49.69999,-112.81856,103197
Rialto,CA,California,US,34.1064,-117.37032,103132
Davenport,IA,Iowa,US,41.52364,-90.57764,102582
Whalley,BC,British Columbia,CA,49.17917,-122.86667,102555
Edison,NJ,New Jersey,US,40.51872,-74.4121,102548
Hillsboro,OR,Oregon,US,45.52289,-122.98983,102347
Delta,BC,British Columbia,CA,49.14399,-122.9068,101668
Las Cruces,NM,New Mexico,US,32.31232,-106.77834,101643
South Bend,IN,Indiana,US,41.68338,-86.25001,101516
Chilliwack,BC,British Columbia,CA,49.16638,-121.95257,101491
Dartmouth,NS,Nova Scotia,CA,44.67134,-63.57719,101343
Albany,NY,New York,US,42.65258,-73.75623,101228
New Bedford,MA,Massachusetts,US,41.63526,-70.92701,101079
Vista,CA,California,US,33.20004,-117.24254,100890
Davie,FL,Florida,US,26.06287,-80.2331,100882
Red Deer,AB,Alberta,CA,52.26682,-113.802,100844
Chinatown,CA,California,US,37.7966,-122.40858,100574
Renton,WA,Washington,US,47.48288,-122.21707,100242
Roanoke,VA,Virginia,US,37.27097,-79.94143,100011
San Angelo,TX,Texas,US,31.46377,-100.43704,99893
Kenosha,WI,Wisconsin,US,42.58474,-87.82119,99858
Niagara Falls,ON,Ontario,CA,43.10012,-79.06627,99818
Clinton Township,MI,Michigan,US,42.58698,-82.91992,99753
Columbia,MD,Maryland,US,39.24038,-76.83942,99615
Erie,PA,Pennsylvania,US,42.12922,-80.08506,99475
Portsmouth Heights,VA,Virginia,US,36.82098,-76.36883,99049
Richmond Hill,NY,New York,US,40.69983,-73.83125,98984
Saint-Laurent,QC,Quebec,CA,45.50008,-73.66585,98828
Alief,TX,Texas,US,29.71106,-95.59633,98725
Spring Hill,FL,Florida,US,28.47688,-82.52546,98621
Compton,CA,California,US,33.89585,-118.22007,98462
League City,TX,Texas,US,29.50745,-95.09493,98312
Flint,MI,Michigan,US,43.01253,-83.68746,98310
Allen,TX,Texas,US,33.10317,-96.67055,98143
Saint-Jean-sur-Richelieu,QC,Quebec,CA,45.30713,-73.26259,98036
Dorchester,MA,Massachusetts,US,42.29732,-71.0745,97826
Mission Viejo,CA,California,US,33.60002,-117.672,97156
Vacaville,CA,California,US,38.35658,-121.98774,96803
Ventura,CA,California,US,34.27834,-119.29317,96769
Highlands Ranch,CO,Colorado,US,39.55388,-104.96943,96713
Lawton,OK,Oklahoma,US,34.60869,-98.39033,96655
Beaverton,OR,Oregon,US,45.48706,-122.80371,96577
South Gate,CA,California,US,33.95474,-118.21202,96401
Portsmouth,VA,Virginia,US,36.83543,-76.29827,96201
Sparks,NV,Nevada,US,39.53491,-119.75269,96094
Yuma,AZ,Arizona,US,32.72532,-114.6244,95548
Brockton,MA,Massachusetts,US,42.08343,-71.01838,95314
